book_ID,ID,number,createdAt,createdBy,modifiedAt,modifiedBy
95426896-4743-46ea-9127-281e0f56816a,28280529-4c1f-47b4-9840-b2efc0ef117c,25,2011-03-14T00:00:00.000Z,createdBy.gu5e9@example.com,2001-10-13T00:00:00.000Z,modifiedBy.gu5e9@example.org
95426896-4743-46ea-9127-281e0f56816a,28280530-ddd1-4450-9043-8923f7f0cb5b,31,2018-12-21T00:00:00.000Z,createdBy.gu5ea@example.com,2006-05-20T00:00:00.000Z,modifiedBy.gu5ea@example.org
954269ab-4a72-4760-81a0-22158bd4ec53,21719384-f7c0-404c-9aae-febdafb704fe,1,2020-08-02T00:00:00.000Z,createdBy.cxis8@example.com,2002-09-07T00:00:00.000Z,modifiedBy.cxis8@example.com
954269ab-4a72-4760-81a0-22158bd4ec53,21719385-e0ea-4ed8-afd5-b7fc08717976,34,2008-03-29T00:00:00.000Z,createdBy.cxis9@example.org,2005-09-02T00:00:00.000Z,modifiedBy.cxis9@example.com
95427084-a70d-4e70-87b8-e9dc0a95793d,2312770d-a008-42c2-bf8a-eddb745edd54,87,2001-08-24T00:00:00.000Z,createdBy.1dkjm@example.org,2002-05-17T00:00:00.000Z,modifiedBy.1dkjm@example.org
95427084-a70d-4e70-87b8-e9dc0a95793d,23127714-aaef-4305-ba76-39448e97fbb6,50,2000-03-02T00:00:00.000Z,createdBy.1dkjn@example.com,2001-05-20T00:00:00.000Z,modifiedBy.1dkjn@example.net
954271e4-027a-4eb5-a1dc-6834a8a1e711,30782584-d057-4a8a-b447-9fe2d9987e94,98,2009-02-25T00:00:00.000Z,createdBy.ibrzs@example.net,2017-04-22T00:00:00.000Z,modifiedBy.ibrzs@example.org
954271e4-027a-4eb5-a1dc-6834a8a1e711,30782585-d116-4ffd-8e86-943f14351238,10,2016-10-26T00:00:00.000Z,createdBy.ibrzt@example.org,2006-03-05T00:00:00.000Z,modifiedBy.ibrzt@example.org
9542724d-acbc-4db6-afe7-e6ea3e91d97d,20164960-0583-4eb9-8a5f-5f0510fce21b,72,2009-11-24T00:00:00.000Z,createdBy.c07ds@example.org,2022-12-09T00:00:00.000Z,modifiedBy.c07ds@example.org
9542724d-acbc-4db6-afe7-e6ea3e91d97d,20164961-9f55-4504-bdb2-237cd1bca184,36,2000-11-04T00:00:00.000Z,createdBy.c07dt@example.net,2004-02-19T00:00:00.000Z,modifiedBy.c07dt@example.org
